"filename", "language", "JSON", "JavaScript", "HTML", "PostCSS", "MS SQL", "comment", "blank", "total"
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\public\Html\contactar.html", "HTML", 0, 0, 225, 0, 0, 0, 31, 256
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\public\Html\crear_productos.html", "HTML", 0, 0, 170, 0, 0, 5, 22, 197
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\public\Html\dashboard_comprador.html", "HTML", 0, 0, 178, 0, 0, 10, 17, 205
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\public\Html\detalle_producto.html", "HTML", 0, 0, 203, 0, 0, 13, 20, 236
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\public\Html\editar_producto.html", "HTML", 0, 0, 147, 0, 0, 7, 14, 168
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\public\Html\explorar.html", "HTML", 0, 0, 41, 0, 0, 0, 6, 47
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\public\Html\index.html", "HTML", 0, 0, 220, 0, 0, 15, 20, 255
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\public\Html\login.html", "HTML", 0, 0, 75, 0, 0, 0, 13, 88
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\public\Html\mensaje-exito.html", "HTML", 0, 0, 60, 0, 0, 5, 10, 75
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\public\Html\mis_productos.html", "HTML", 0, 0, 67, 0, 0, 1, 10, 78
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\public\Html\productos.html", "HTML", 0, 0, 83, 0, 0, 0, 12, 95
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\public\Html\registro.html", "HTML", 0, 0, 43, 0, 0, 1, 7, 51
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\public\Js\contactar.js", "JavaScript", 0, 36, 0, 0, 0, 4, 7, 47
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\public\Js\crear_productos.js", "JavaScript", 0, 323, 0, 0, 0, 3, 40, 366
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\public\Js\dashboard_comprador.js", "JavaScript", 0, 322, 0, 0, 0, 34, 61, 417
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\public\Js\detalle_producto.js", "JavaScript", 0, 732, 0, 0, 0, 8, 58, 798
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\public\Js\editar_producto.js", "JavaScript", 0, 129, 0, 0, 0, 3, 18, 150
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\public\Js\mensaje-exito.js", "JavaScript", 0, 16, 0, 0, 0, 5, 3, 24
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\public\Js\mis_productos.js", "JavaScript", 0, 119, 0, 0, 0, 1, 16, 136
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\public\Js\productos.js", "JavaScript", 0, 61, 0, 0, 0, 5, 17, 83
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\public\Js\resgistro.js", "JavaScript", 0, 29, 0, 0, 0, 2, 8, 39
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\public\Js\utils.js", "JavaScript", 0, 30, 0, 0, 0, 0, 6, 36
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\server.js", "JavaScript", 0, 740, 0, 0, 0, 52, 134, 926
"Total", "-", 1337, 2537, 1512, 3477, 158, 324, 1190, 10535
