"filename", "language", "JavaScript", "HTML", "JSON", "PostCSS", "MS SQL", "comment", "blank", "total"
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\public\Html\productos.html", "HTML", 0, 292, 0, 0, 0, 4, 43, 339
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\public\Html\registro.html", "HTML", 0, 43, 0, 0, 0, 1, 7, 51
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\public\Js\contactar.js", "JavaScript", 36, 0, 0, 0, 0, 4, 7, 47
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\public\Js\crear_productos.js", "JavaScript", 323, 0, 0, 0, 0, 3, 40, 366
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\public\Js\dashboard_comprador.js", "JavaScript", 322, 0, 0, 0, 0, 36, 58, 416
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\public\Js\detalle_producto.js", "JavaScript", 759, 0, 0, 0, 0, 7, 64, 830
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\public\Js\editar_producto.js", "JavaScript", 129, 0, 0, 0, 0, 3, 18, 150
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\public\Js\mensaje-exito.js", "JavaScript", 16, 0, 0, 0, 0, 5, 3, 24
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\public\Js\mis_productos.js", "JavaScript", 119, 0, 0, 0, 0, 1, 16, 136
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\public\Js\productos.js", "JavaScript", 262, 0, 0, 0, 0, 27, 58, 347
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\public\Js\resgistro.js", "JavaScript", 29, 0, 0, 0, 0, 2, 8, 39
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\public\Js\utils.js", "JavaScript", 30, 0, 0, 0, 0, 0, 6, 36
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\routes\adminRoutes.js", "JavaScript", 5, 0, 0, 0, 0, 0, 4, 9
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\routes\contactRoutes.js", "JavaScript", 5, 0, 0, 0, 0, 0, 4, 9
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\routes\favoriteRoutes.js", "JavaScript", 6, 0, 0, 0, 0, 0, 4, 10
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\routes\productRoutes.js", "JavaScript", 13, 0, 0, 0, 0, 0, 4, 17
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\routes\reviewRoutes.js", "JavaScript", 8, 0, 0, 0, 0, 0, 4, 12
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\routes\statsRoutes.js", "JavaScript", 5, 0, 0, 0, 0, 0, 4, 9
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\routes\userRoutes.js", "JavaScript", 13, 0, 0, 0, 0, 0, 6, 19
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\server.js", "JavaScript", 27, 0, 0, 0, 0, 6, 7, 40
"Total", "-", 2937, 1721, 1344, 3841, 158, 346, 1366, 11713
